"the_geom","Group_Id","WorksiteNa","Address","Latitude","Longitude","City","Origin_Des","EmployerID","WorksiteID"
"POINT (-122.33552499999996 47.62541770000007)","5,356","Google - South Lake Union","630 Boren Ave N, Seattle, WA 98109, USA","47.6254177","-122.335525","Seattle","Destination","10778","5514"
"POINT (-122.33079199999997 47.62443390000004)","5,369","Amazon - Prime","1260 Mercer St, Seattle, WA 98109, USA","47.6244339","-122.330792","Seattle","Destination","9840","4508"
"POINT (-122.33079999999995 47.62880000000007)","5,372","Fred Hutch - Fairview Ave N Seattle","1100 Fairview Av N, Seattle, WA 98109, USA","47.6288","-122.3308","Seattle","Destination","6130","2898"
"POINT (-122.33918179999995 47.62394460000007)","5,377","Amazon - Nessie","500 9th Ave N, Seattle, WA 98109, USA","47.6239446","-122.3391818","Seattle","Destination","9840","5164"
"POINT (-122.19359999999995 47.615117000000055)","5,379","Microsoft - City Center Plaza","555 110th Av NE, Bellevue, WA 98004, USA","47.615117","-122.1936","Bellevue","Destination","1024","5269"
"POINT (-122.33785489999997 47.61527470000004)","5,389","Amazon - Doppler","2021 7th Ave, Seattle, WA 98121, USA","47.6152747","-122.3378549","Seattle","Destination","9840","5019"
"POINT (-122.33325639999998 47.61524900000006)","5,390","Amazon - Alexandria","1800 9th Ave, Seattle, WA 98101, USA","47.615249","-122.3332564","Seattle","Destination","9840","4721"
"POINT (-122.33655319999997 47.62286820000003)","5,417","Amazon - Doppler","440 Terry Ave N, Seattle, WA 98109, USA","47.6228682","-122.3365532","Seattle","Destination","9840","5019"
"POINT (-122.34105899999997 47.72103500000003)","5,419","City of Seattle SPU Drainage & Wastewater","12600 Stone Ave N, Seattle, WA 98133, USA","47.721035","-122.341059","Seattle","Destination","5171","3022"
"POINT (-122.33581299999997 47.62389760000008)","5,420","Amazon - Doppler","500 Boren Ave N, Seattle, WA 98109, USA","47.6238976","-122.335813","Seattle","Destination","9840","5019"
"POINT (-122.33823479999995 47.61530460000006)","5,424","Amazon - Doppler","2021 7th Ave, Seattle, WA 98121, USA","47.6153046","-122.3382348","Seattle","Destination","9840","5019"
"POINT (-122.33809939999998 47.620051000000046)","5,425","Amazon - Roxanne","202 Westlake Ave N, Seattle, WA 98109, USA","47.620051","-122.3380994","Seattle","Destination","9840","5162"
"POINT (-122.19968829999999 47.61951380000005)","5,434","Amazon - Blueshift","10550 NE 10th St, Bellevue, WA 98004, USA","47.6195138","-122.1996883","Bellevue","Destination","9840","5703"
"POINT (-122.33858429999998 47.61148750000007)","5,435","Amazon - Ivy","300 Pine St, Seattle, WA 98101, USA","47.6114875","-122.3385843","Seattle","Destination","9840","5314"
"POINT (-122.33597779999997 47.61568630000005)","5,436","Amazon - Port 99","1918 8th Ave, Seattle, WA 98101, USA","47.6156863","-122.3359778","Seattle","Destination","9840","4459"
"POINT (-122.33655319999997 47.62286820000003)","5,439","Amazon - Cricket","440 Terry Ave N, Seattle, WA 98109, USA","47.6228682","-122.3365532","Seattle","Destination","9840","4501"
"POINT (-122.33545369999996 47.62389390000004)","5,440","Amazon - Fiona","500 Boren Ave N, Seattle, WA 98109, USA","47.6238939","-122.3354537","Seattle","Destination","9840","5101"
"POINT (-122.13810089999998 47.64301130000007)","5,484","Microsoft - Studio C","3640 150th Ave NE, Redmond, WA 98052, USA","47.6430113","-122.1381009","Redmond","Destination","1024","5531"
"POINT (-122.13351629999994 47.642195600000036)","5,494","Microsoft - Bldg 44","15595 NE 36th St, Redmond, WA 98052, USA","47.6421956","-122.1335163","Redmond","Destination","1024","4425"
"POINT (-122.33982749999996 47.61624800000004)","5,499","Amazon - Day 1","2121 7th Ave, Seattle, WA 98121, USA","47.616248","-122.3398275","Seattle","Destination","9840","5158"
"POINT (-122.34153789999999 47.72246700000005)","5,507","City of Seattle - North Operations Center","1318 N 128th St, Seattle, WA 98133, USA","47.722467","-122.3415379","Seattle","Destination","5171","5367"
"POINT (-122.32007219999997 47.65472210000007)","5,514","University of Washington - 814 Northlake","814 NE Northlake Way, Seattle, WA 98105, USA","47.6547221","-122.3200722","Seattle","Destination","7001","3625"
