name,population
Whidbey Island Station CDP,"2,027"
White Center CDP,"14,886"
White Salmon city,"2,548"
White Swan CDP,588
Wilbur town,842
Wilderness Rim CDP,"1,560"
Wilkeson town,552
Willapa CDP,172
Wilson Creek town,206
Winlock city,"2,140"
Winthrop town,423
Wishram CDP,411
Wollochet CDP,"6,689"
Woodinville city,"13,438"
Woodland city,"6,487"
Woods Creek CDP,"6,943"
Woodway city,"1,251"
Yacolt town,"1,684"
Yakima city,"96,961"
Yarrow Point town,"1,198"
Yelm city,"11,102"
Zillah city,"3,140"
